
2015-04-18 20:58:20,656INFO [Test.one(Test.java:27)] into one method
2015-04-19 11:34:19,008INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1378 document
 
2015-04-19 11:34:27,363INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1324 document
 
2015-04-19 11:34:36,156INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1352 document
 
2015-04-19 11:34:44,455INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1350 document
 
2015-04-19 11:34:52,119INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1061 document
 
2015-04-19 11:35:00,002INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1047 document
 
2015-04-19 11:35:07,818INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1038 document
 
2015-04-19 11:35:15,617INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1068 document
 
2015-04-19 11:35:22,957INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 883 document
 
2015-04-19 11:35:30,635INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 861 document
 
2015-04-19 11:35:38,197INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 839 document
 
2015-04-19 11:35:46,224INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1403 document
 
2015-04-19 11:35:55,514INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3048 document
 
2015-04-19 11:36:05,472INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3038 document
 
2015-04-19 11:36:14,917INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2937 document
 
2015-04-19 11:36:24,175INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2423 document
 
2015-04-19 11:36:33,283INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2399 document
 
2015-04-19 11:36:42,538INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2435 document
 
2015-04-19 11:36:51,531INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2460 document
 
2015-04-19 11:36:59,935INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1698 document
 
2015-04-19 11:37:07,542INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 688 document
 
2015-04-19 11:37:14,951INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 559 document
 
2015-04-19 11:37:21,708INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 494 document
 
2015-04-19 11:37:29,047INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 377 document
 
2015-04-19 11:37:40,833INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1557 document
 
2015-04-19 11:37:50,455INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 6110 document
 
2015-04-19 11:37:59,991INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4490 document
 
2015-04-19 11:38:09,437INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4437 document
 
2015-04-19 11:38:18,715INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3069 document
 
2015-04-19 11:38:27,959INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3089 document
 
2015-04-19 11:38:37,237INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3086 document
 
2015-04-19 11:38:46,556INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2989 document
 
2015-04-19 11:38:55,387INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2408 document
 
2015-04-19 11:39:04,283INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2405 document
 
2015-04-19 11:39:12,991INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2194 document
 
2015-04-19 11:39:22,617INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1972 document
 
2015-04-19 11:39:31,439INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1973 document
 
2015-04-19 11:39:40,243INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1973 document
 
2015-04-19 11:39:48,801INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1694 document
 
2015-04-19 11:39:57,626INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1668 document
 
2015-04-19 11:40:05,914INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1412 document
 
2015-04-19 11:40:14,245INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1334 document
 
2015-04-19 11:40:22,348INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1320 document
 
2015-04-19 11:40:30,760INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1356 document
 
2015-04-19 11:40:38,617INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1157 document
 
2015-04-19 11:40:46,368INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1064 document
 
2015-04-19 11:40:54,284INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1066 document
 
2015-04-19 11:41:01,903INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 933 document
 
2015-04-19 11:41:09,535INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 860 document
 
2015-04-19 11:41:16,987INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 854 document
 
2015-04-19 11:41:24,307INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 672 document
 
2015-04-19 11:41:31,478INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 572 document
 
2015-04-19 11:41:38,478INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 499 document
 
2015-04-19 11:41:46,523INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1297 document
 
2015-04-19 11:41:58,363INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 7315 document
 
2015-04-19 11:42:07,988INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4464 document
 
2015-04-19 11:42:18,490INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4559 document
 
2015-04-19 11:42:28,733INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4518 document
 
2015-04-19 11:42:38,205INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3355 document
 
2015-04-19 11:42:47,699INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3048 document
 
2015-04-19 11:42:56,908INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3048 document
 
2015-04-19 11:43:06,134INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3093 document
 
2015-04-19 11:43:15,470INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3081 document
 
2015-04-19 11:43:24,783INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3090 document
 
2015-04-19 11:43:33,530INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2777 document
 
2015-04-19 11:43:42,986INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2426 document
 
2015-04-19 11:43:52,211INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2447 document
 
2015-04-19 11:44:01,261INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2449 document
 
2015-04-19 11:44:10,641INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2399 document
 
2015-04-19 11:44:19,673INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2154 document
 
2015-04-19 11:44:28,671INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1962 document
 
2015-04-19 11:44:38,134INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1958 document
 
2015-04-19 11:44:47,062INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1949 document
 
2015-04-19 11:44:55,965INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1950 document
 
2015-04-19 11:45:05,276INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1946 document
 
2015-04-19 11:45:14,291INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1946 document
 
2015-04-19 11:45:23,366INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1763 document
 
2015-04-19 11:45:32,152INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1663 document
 
2015-04-19 11:45:41,221INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1671 document
 
2015-04-19 11:45:51,471INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1622 document
 
2015-04-19 11:46:00,034INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1327 document
 
2015-04-19 11:46:08,746INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1342 document
 
2015-04-19 11:46:17,507INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1329 document
 
2015-04-19 11:46:25,926INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1331 document
 
2015-04-19 11:46:34,207INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1330 document
 
2015-04-19 11:46:42,440INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1328 document
 
2015-04-19 11:46:50,709INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1325 document
 
2015-04-19 11:46:58,757INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1194 document
 
2015-04-19 11:47:06,848INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1070 document
 
2015-04-19 11:47:14,810INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1061 document
 
2015-04-19 11:47:22,796INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1049 document
 
2015-04-19 11:47:30,821INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1056 document
 
2015-04-19 11:47:38,704INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 975 document
 
2015-04-19 11:47:46,502INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 869 document
 
2015-04-19 11:47:54,447INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 850 document
 
2015-04-19 11:48:02,359INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 858 document
 
2015-04-19 11:48:13,505INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 811 document
 
2015-04-19 11:48:21,566INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1180 document
 
2015-04-19 11:48:30,413INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2387 document
 
2015-04-19 11:48:39,513INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2378 document
 
2015-04-19 11:48:48,702INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1981 document
 
2015-04-19 11:48:57,719INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1989 document
 
2015-04-19 11:49:07,125INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1958 document
 
2015-04-19 11:49:16,144INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1967 document
 
2015-04-19 11:49:25,104INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1934 document
 
2015-04-19 11:49:33,340INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1307 document
 
2015-04-19 11:49:40,389INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 553 document
 
2015-04-19 11:49:47,016INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 498 document
 
2015-04-19 11:49:54,068INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 441 document
 
2015-04-19 11:50:04,047INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4237 document
 
2015-04-19 11:50:13,528INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4684 document
 
2015-04-19 11:50:22,781INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4049 document
 
2015-04-19 11:50:32,179INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3043 document
 
2015-04-19 11:50:41,699INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3046 document
 
2015-04-19 11:50:51,175INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3027 document
 
2015-04-19 11:51:00,374INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2736 document
 
2015-04-19 11:51:09,512INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2390 document
 
2015-04-19 11:51:18,762INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2365 document
 
2015-04-19 11:51:27,839INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1965 document
 
2015-04-19 11:51:36,629INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1955 document
 
2015-04-19 11:51:45,407INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1926 document
 
